angle_deg,extended_parameter_count,rank_column_normalized,condition_column_normalized,svd_tolerance,sigma1_colnorm,sigma2_colnorm,sigma3_colnorm,sigma4_colnorm,sigma5_colnorm,sigma6_colnorm,sigma7_colnorm,sigma8_colnorm,sigma9_colnorm,sigma10_colnorm,sigma11_colnorm
10.0,11,11,1266769.8590956535,2.345501679502907e-12,2.546576781534755,1.874694578684945,0.6878591416191621,0.6495562895768532,0.3075835016555732,0.084256605720966,0.0605921960656071,0.003060498597017,0.0024064061368504,5.0900883153953584e-05,2.010291579997613e-06
15.0,11,11,61856.60694812078,2.3516625379113163e-12,2.5532657978395754,1.8647796817569,0.7303359173464891,0.6159635126798167,0.2723714016157887,0.1180520714089674,0.0475909046243059,0.0150169483530894,0.003855603003594,0.0010773434392282,4.127717189500877e-05
