angle_deg,residual_abs,ecdf
10.0,1.2046253150543862e-07,0.0006027727546714888
10.0,4.183653314893121e-07,0.0012055455093429777
10.0,6.96626619695051e-07,0.0018083182640144665
10.0,7.963930470367142e-07,0.0024110910186859553
10.0,8.549275228031394e-07,0.0030138637733574444
10.0,1.040421295284144e-06,0.003616636528028933
10.0,1.2309425760637094e-06,0.004219409282700422
10.0,1.749255179372966e-06,0.004822182037371911
10.0,2.30862942782184e-06,0.0054249547920434
10.0,2.8897008394757062e-06,0.006027727546714889
10.0,3.054869742169508e-06,0.006630500301386378
10.0,3.559303692279858e-06,0.007233273056057866
10.0,4.249752872109713e-06,0.007836045810729355
10.0,4.440790289800267e-06,0.008438818565400843
10.0,4.757487697737428e-06,0.009041591320072333
10.0,5.163502037663914e-06,0.009644364074743821
10.0,5.297510824398e-06,0.010247136829415311
10.0,5.627501356880726e-06,0.0108499095840868
10.0,6.118903638385742e-06,0.011452682338758288
10.0,6.892557898235952e-06,0.012055455093429777
10.0,7.102309684980934e-06,0.012658227848101266
10.0,8.236342884160308e-06,0.013261000602772756
10.0,8.841693369149306e-06,0.013863773357444244
10.0,9.714024721330096e-06,0.014466546112115732
10.0,1.0717491029321737e-05,0.015069318866787222
10.0,1.1112406465813018e-05,0.01567209162145871
10.0,1.1120577135703693e-05,0.0162748643761302
10.0,1.1336778579784657e-05,0.016877637130801686
10.0,1.2337005107471157e-05,0.017480409885473176
10.0,1.3143888700550832e-05,0.018083182640144666
10.0,1.405790529176998e-05,0.018685955394816153
10.0,1.4183129436767803e-05,0.019288728149487643
10.0,1.4269833443769642e-05,0.019891500904159132
10.0,1.4496451788498232e-05,0.020494273658830622
10.0,1.5216872642387358e-05,0.02109704641350211
10.0,1.5285516999558046e-05,0.0216998191681736
10.0,1.6023660181607724e-05,0.02230259192284509
10.0,1.6532260451673775e-05,0.022905364677516575
10.0,1.6533468938539908e-05,0.023508137432188065
10.0,1.692827402108299e-05,0.024110910186859555
10.0,1.765052855084992e-05,0.02471368294153104
10.0,1.785416900601522e-05,0.02531645569620253
10.0,1.8054026688418823e-05,0.02591922845087402
10.0,1.9093034653305807e-05,0.02652200120554551
10.0,1.9304284344739964e-05,0.027124773960216998
10.0,1.934347251508761e-05,0.027727546714888487
10.0,2.0074812316056567e-05,0.028330319469559977
10.0,2.0277880779767665e-05,0.028933092224231464
10.0,2.1307882763693664e-05,0.029535864978902954
10.0,2.1334796893451857e-05,0.030138637733574444
10.0,2.137292983697692e-05,0.03074141048824593
10.0,2.2161861542191463e-05,0.03134418324291742
10.0,2.22223686032752e-05,0.031946955997588906
10.0,2.2454617237238628e-05,0.0325497287522604
10.0,2.256976346265427e-05,0.033152501506931886
10.0,2.278667435437476e-05,0.03375527426160337
10.0,2.336144110537397e-05,0.034358047016274866
10.0,2.3527684629348625e-05,0.03496081977094635
10.0,2.4470223314643214e-05,0.03556359252561784
10.0,2.479161115767625e-05,0.03616636528028933
10.0,2.5396881359690537e-05,0.03676913803496082
10.0,2.6167795076081912e-05,0.037371910789632305
10.0,2.6908883470511125e-05,0.0379746835443038
10.0,2.837156976109867e-05,0.038577456298975285
10.0,2.8467840602341976e-05,0.03918022905364678
10.0,2.879466309463341e-05,0.039783001808318265
10.0,2.933384047285048e-05,0.04038577456298975
10.0,2.959245607606076e-05,0.040988547317661245
10.0,2.974885852377596e-05,0.04159132007233273
10.0,3.0479985246967267e-05,0.04219409282700422
10.0,3.089568071487636e-05,0.04279686558167571
10.0,3.2310248978928424e-05,0.0433996383363472
10.0,3.2392144529797e-05,0.044002411091018684
10.0,3.266593838890941e-05,0.04460518384569018
10.0,3.347958056421074e-05,0.045207956600361664
10.0,3.434716353253875e-05,0.04581072935503315
10.0,3.468452519722609e-05,0.046413502109704644
10.0,3.6056318852145663e-05,0.04701627486437613
10.0,3.651724637915299e-05,0.047619047619047616
10.0,3.651949451249914e-05,0.04822182037371911
10.0,3.684359866951148e-05,0.048824593128390596
10.0,3.771869193711086e-05,0.04942736588306208
10.0,3.796320749527293e-05,0.050030138637733576
10.0,3.849009645698343e-05,0.05063291139240506
10.0,3.865095605148916e-05,0.05123568414707655
10.0,3.872585722305977e-05,0.05183845690174804
10.0,3.899870539250672e-05,0.05244122965641953
10.0,3.905517042548934e-05,0.05304400241109102
10.0,3.9095160055485634e-05,0.05364677516576251
10.0,3.924605487848343e-05,0.054249547920433995
10.0,3.931981551644204e-05,0.05485232067510549
10.0,4.008494956717068e-05,0.055455093429776975
10.0,4.155713599124367e-05,0.05605786618444846
10.0,4.158646109289621e-05,0.056660638939119955
10.0,4.2313380117342536e-05,0.05726341169379144
10.0,4.265762211419499e-05,0.05786618444846293
10.0,4.29497033930526e-05,0.05846895720313442
10.0,4.3437429612658285e-05,0.05907172995780591
10.0,4.3723160270625616e-05,0.059674502712477394
10.0,4.378665481233335e-05,0.06027727546714889
10.0,4.406535084053309e-05,0.060880048221820374
10.0,4.462389598938743e-05,0.06148282097649186
10.0,4.539513252191374e-05,0.062085593731163354
10.0,4.6831388306634025e-05,0.06268836648583484
10.0,4.716320655881456e-05,0.06329113924050633
10.0,4.7265538993424006e-05,0.06389391199517781
10.0,4.77205991349372e-05,0.0644966847498493
10.0,4.773647401862258e-05,0.0650994575045208
10.0,4.791649541571741e-05,0.06570223025919228
10.0,4.808835810093948e-05,0.06630500301386377
10.0,4.851875449760068e-05,0.06690777576853527
10.0,4.869798891563026e-05,0.06751054852320675
10.0,4.892857078131474e-05,0.06811332127787824
10.0,4.894907934407944e-05,0.06871609403254973
