bin_left,bin_right,bin_center,count_10deg,fraction_10deg,count_15deg,fraction_15deg
-0.0019597271529629,-0.0018290786760987066,-0.0018944029145308032,0,0.0,0,0.0
-0.0018290786760987066,-0.0016984301992345131,-0.0017637544376666097,0,0.0,0,0.0
-0.0016984301992345131,-0.0015677817223703199,-0.0016331059608024165,0,0.0,0,0.0
-0.0015677817223703199,-0.0014371332455061264,-0.0015024574839382233,0,0.0,0,0.0
-0.0014371332455061264,-0.0013064847686419332,-0.0013718090070740298,0,0.0,4,0.0024110910186859553
-0.0013064847686419332,-0.00117583629177774,-0.0012411605302098366,1,0.0006027727546714888,30,0.018083182640144666
-0.00117583629177774,-0.0010451878149135467,-0.0011105120533456434,7,0.004219409282700422,73,0.044002411091018684
-0.0010451878149135467,-0.0009145393380493533,-0.00097986357648145,43,0.02591922845087402,62,0.037371910789632305
-0.0009145393380493533,-0.00078389086118516,-0.0008492150996172567,90,0.054249547920433995,42,0.02531645569620253
-0.00078389086118516,-0.0006532423843209666,-0.0007185666227530633,137,0.08257986738999397,43,0.02591922845087402
-0.0006532423843209666,-0.0005225939074567734,-0.00058791814588887,93,0.05605786618444846,95,0.05726341169379144
-0.0005225939074567734,-0.00039194543059258014,-0.00045726966902467675,111,0.06690777576853527,147,0.08860759493670886
-0.00039194543059258014,-0.0002612969537283867,-0.0003266211921604834,112,0.06751054852320675,165,0.09945750452079566
-0.0002612969537283867,-0.00013064847686419345,-0.00019597271529629007,135,0.081374321880651,145,0.08740204942736589
-0.00013064847686419345,0.0,-6.532423843209673e-05,158,0.09523809523809523,135,0.081374321880651
0.0,0.00013064847686419323,6.532423843209662e-05,136,0.08197709463532249,115,0.06931886678722121
0.00013064847686419323,0.00026129695372838647,0.00019597271529628985,104,0.06268836648583484,107,0.0644966847498493
0.00026129695372838647,0.0003919454305925797,0.0003266211921604831,132,0.07956600361663653,62,0.037371910789632305
0.0003919454305925797,0.0005225939074567734,0.00045726966902467654,101,0.060880048221820374,67,0.04038577456298975
0.0005225939074567734,0.0006532423843209666,0.00058791814588887,53,0.031946955997588906,79,0.047619047619047616
0.0006532423843209666,0.0007838908611851598,0.0007185666227530632,55,0.033152501506931886,59,0.03556359252561784
0.0007838908611851598,0.0009145393380493531,0.0008492150996172565,66,0.039783001808318265,26,0.01567209162145871
0.0009145393380493531,0.0010451878149135463,0.0009798635764814497,39,0.023508137432188065,25,0.015069318866787222
0.0010451878149135463,0.0011758362917777395,0.001110512053345643,20,0.012055455093429777,32,0.019288728149487643
0.0011758362917777395,0.0013064847686419332,0.0012411605302098364,17,0.010247136829415311,28,0.016877637130801686
0.0013064847686419332,0.0014371332455061264,0.0013718090070740298,11,0.006630500301386378,36,0.0216998191681736
0.0014371332455061264,0.0015677817223703197,0.001502457483938223,23,0.013863773357444244,39,0.023508137432188065
0.0015677817223703197,0.001698430199234513,0.0016331059608024163,13,0.007836045810729355,26,0.01567209162145871
0.001698430199234513,0.0018290786760987061,0.0017637544376666095,2,0.0012055455093429777,12,0.007233273056057866
0.0018290786760987061,0.0019597271529629,0.001894402914530803,0,0.0,5,0.0030138637733574444
